word,meaning,level
Apple,Quả táo,A1
Book,Quyển sách,A1
Water,Nước,A1
Family,Gia đình,A1
House,Ngôi nhà,A1
Money,Tiền bạc,A1
Friend,Bạn bè,A1
Morning,Buổi sáng,A1
Night,Ban đêm,A1
School,Trường học,A1
Teacher,Giáo viên,A1
Student,Học sinh,A1
City,Thành phố,A1
Country,Quốc gia,A1
Animal,Động vật,A1
Color,Màu sắc,A1
Happy,Vui vẻ,A1
Beautiful,Xinh đẹp,A1
Listen,Lắng nghe,A1
Speak,Nói,A1
Hot,Nóng,A1
Cold,Lạnh,A1
Big,To lớn,A1
Small,Nhỏ bé,A1
Good,Tốt,A1
Bad,"Xấu, tồi",A1
Fast,Nhanh,A1
Slow,Chậm,A1
Old,"Cũ, già",A1
New,Mới,A1
Advice,Lời khuyên,A2
Believe,Tin tưởng,A2
Borrow,Mượn,A2
Careful,Cẩn thận,A2
Choose,Lựa chọn,A2
Decide,Quyết định,A2
Describe,Miêu tả,A2
Difference,Sự khác biệt,A2
Enjoy,"Thưởng thức, thích thú",A2
Explain,Giải thích,A2
Famous,Nổi tiếng,A2
Guess,Đoán,A2
Happen,Xảy ra,A2
Improve,Cải thiện,A2
Invite,Mời,A2
Knowledge,Kiến thức,A2
Language,Ngôn ngữ,A2
Mistake,Lỗi lầm,A2
Practice,Thực hành,A2
Remember,Nhớ lại,A2
Afraid,Sợ hãi,A2
Angry,Tức giận,A2
Awake,"Tỉnh táo, thức giấc",A2
Brave,Dũng cảm,A2
Cheap,Rẻ,A2
Clear,Rõ ràng,A2
Clever,Thông minh,A2
Dangerous,Nguy hiểm,A2
Difficult,Khó khăn,A2
Dirty,Bẩn thỉu,A2
Achieve,Đạt được,B1
Advantage,Lợi thế,B1
Analyze,Phân tích,B1
Apologize,Xin lỗi,B1
Benefit,Lợi ích,B1
Challenge,Thử thách,B1
Compare,So sánh,B1
Complain,Phàn nàn,B1
Concentrate,Tập trung,B1
Confident,Tự tin,B1
Create,Tạo ra,B1
Damage,"Thiệt hại, làm hỏng",B1
Develop,Phát triển,B1
Disappoint,Làm thất vọng,B1
Encourage,Khuyến khích,B1
Environment,Môi trường,B1
Evidence,Bằng chứng,B1
Familiar,Quen thuộc,B1
Generation,Thế hệ,B1
Identify,Nhận diện,B1
Ability,Khả năng,B1
Absence,Sự vắng mặt,B1
Accident,Tai nạn,B1
Action,Hành động,B1
Activity,Hoạt động,B1
Address,"Địa chỉ, giải quyết",B1
Adventure,Chuyến phiêu lưu,B1
Advertisement,Quảng cáo,B1
Agreement,Sự thỏa thuận,B1
Agriculture,Nông nghiệp,B1
Adequate,"Đầy đủ, thỏa đáng",B2
Ambiguous,"Mơ hồ, nhập nhằng",B2
Anticipate,"Dự đoán, lường trước",B2
Appropriate,Thích hợp,B2
Capable,Có khả năng,B2
Compensate,"Đền bù, bồi thường",B2
Comprehensive,Toàn diện,B2
Controversial,Gây tranh cãi,B2
Crucial,Cực kỳ quan trọng,B2
Devastating,"Tàn phá, hủy diệt",B2
Evaluate,Đánh giá,B2
Fluctuate,"Dao động, thay đổi",B2
Implement,"Triển khai, thực hiện",B2
Inevitable,Không thể tránh khỏi,B2
Justify,"Biện minh, bào chữa",B2
Perspective,"Góc nhìn, quan điểm",B2
Profound,"Sâu sắc, uyên thâm",B2
Significant,"Đáng kể, quan trọng",B2
Sustainable,Bền vững,B2
Vulnerable,Dễ bị tổn thương,B2
Abandon,"Từ bỏ, ruồng bỏ",B2
Absolute,Tuyệt đối,B2
Acceptable,Có thể chấp nhận được,B2
Accidental,"Tình cờ, ngẫu nhiên",B2
Accommodate,"Cung cấp chỗ ở, đáp ứng",B2
Accompany,"Đi cùng, hộ tống",B2
Accurate,Chính xác,B2
Accuse,Buộc tội,B2
Acknowledge,"Công nhận, thừa nhận",B2
Acquire,"Đạt được, thu được",B2
Alleviate,"Làm dịu, giảm bớt",C1
Catalyst,"Chất xúc tác, động lực",C1
Cohesive,"Gắn kết, dính liền",C1
Detrimental,"Có hại, bất lợi",C1
Eloquent,"Hùng hồn, lưu loát",C1
Empirical,Dựa trên thực nghiệm,C1
Eradicate,"Tiêu diệt, xóa sổ",C1
Feasible,Khả thi,C1
Hierarchy,Hệ thống cấp bậc,C1
Impeccable,"Hoàn hảo, không tì vết",C1
Incentive,"Sự khích lệ, phần thưởng",C1
Mitigate,"Làm nhẹ bớt, giảm nhẹ",C1
Paradigm,"Mô hình, kiểu mẫu",C1
Pragmatic,"Thực tế, thực dụng",C1
Prevalent,"Thịnh hành, phổ biến",C1
Resilient,"Kiên cường, mau phục hồi",C1
Scrutinize,Xem xét kỹ lưỡng,C1
Susceptible,"Dễ mắc phải, nhạy cảm",C1
Tangible,"Hữu hình, có thể sờ được",C1
Ubiquitous,Có mặt ở khắp mọi nơi,C1
Abolish,"Bãi bỏ, hủy bỏ",C1
Abrupt,Đột ngột,C1
Absurd,"Vô lý, lố bịch",C1
Abundant,"Dồi dào, phong phú",C1
Accelerate,"Thúc đẩy, tăng tốc",C1
Accessible,Có thể tiếp cận được,C1
Acclaim,"Ca ngợi, hoan nghênh",C1
Accomplish,Hoàn thành xuất sắc,C1
Accumulate,Tích lũy,C1
Accuracy,Sự chuẩn xác,C1
Aberration,"Sự lệch lạc, sự khác thường",C2
Cacophony,"Âm thanh chói tai, tạp âm",C2
Dichotomy,"Sự phân đôi, rẽ nhánh",C2
Ephemeral,"Chóng vánh, phù du",C2
Equivocate,"Nói mập mờ, nói nước đôi",C2
Fastidious,"Khó tính, kén cá chọn canh",C2
Idiosyncrasy,"Đặc tính kỳ lạ, thói quen lập dị",C2
Ineffable,Không thể tả bằng lời,C2
Mellifluous,"Ngọt ngào, êm tai (âm thanh)",C2
Obfuscate,"Làm hoang mang, làm mờ mịt",C2
Panacea,"Thuốc trị bách bệnh, giải pháp toàn năng",C2
Pedantic,"Câu nệ tiểu tiết, mô phạm",C2
Quintessential,"Tinh túy nhất, mẫu mực nhất",C2
Sycophant,Kẻ nịnh hót,C2
Trepidation,"Sự lo lắng, sự bồn chồn",C2
Vapid,"Tẻ nhạt, vô vị",C2
Verisimilitude,"Sự giống như thật, vẻ chân thực",C2
Vicarious,Cảm nhận thay qua người khác,C2
Zealous,"Sốt sắng, cuồng nhiệt",C2
Zenith,"Thiên đỉnh, thời kỳ hoàng kim",C2
Abhor,"Ghê tởm, căm ghét",C2
